apices,coty,leaves,flower,fruit,root
Solyc00g500244,0,0,0.0618382783254491,0,0,0
Solyc00g500245,0,0,0.022951573653426,0,0,0
Solyc00g500246,0,0,0,0,0,0
Solyc00g007450,0,0,0,0,0,0
Solyc00g016590,0,0,0,0,0,0
Solyc00g028960,1.3198754130685,0.510714193979247,3.8915694215398,0,0,0.254771176259098
Solyc00g500247,0,0,0,0,0,0
Solyc00g500248,0,0,0,0,0,0
Solyc00g500249,0,0,0,0,0,0
Solyc00g500250,0,0,0.0774252066099821,0.122354428953517,0.0680220497443338,0.0673062699670681
Solyc00g500251,0,0,0,0,0,0
Solyc00g500252,0,0,0,0,0,0
Solyc00g500253,0,0,0,0,0,0
Solyc00g021650,0,0.719959969673216,0.661750586515048,0,0,0
Solyc00g021640,1.50720560644393,74.1197847367319,1.64517977862427,0.527632381331651,2.03753007695049,0.585752700208619
Solyc00g021630,2.73407715979195,0.940056448868362,1.96384351963198,1.53373949386485,2.64091595238048,1.3470520812137
Solyc00g500254,0,0.313868663540953,0.0733317406946478,0,0,0
Solyc00g181240,0.416423198921738,0.150343632924594,0,0,0.0830904814877438,0
Solyc00g181250,0.136047254021259,0.487463245222398,0.0231077194119955,0,0,0
Solyc00g500255,0,0,0,0,0,0
Solyc00g500256,0,0,0.0171451722100078,0,0,0
Solyc00g500257,0,0,0.010875757234843,0,0,0
Solyc00g500258,0,0,0,0,0,0
Solyc00g500259,0,0,0,0,0,0
Solyc00g500260,0,0,0,0,0,0
Solyc00g500261,0,0,0,0,0,0
Solyc00g500262,0,0,0,0,0,0
Solyc00g500263,0,0,0,0,0,0
Solyc00g500264,0,0,0,0,0,0
Solyc00g500265,0,0,0,0,0,0
Solyc00g500266,0.0143779475166884,0,0,0,0,0
Solyc00g500267,0,0,0,0,0,0
Solyc00g500268,0,0,0.0146908538965115,0,0,0
Solyc00g500269,0,0,0,0,0,0
Solyc00g500270,0,0,0,0,0,0
Solyc00g500271,0,0,0,0,0,0
Solyc00g500272,0,0,0,0,0,0
Solyc00g500273,0,0,0.0449271762094025,0,0,0
Solyc00g500274,0,0,0,0,0,0
Solyc00g500275,0,0,0,0,0,0
Solyc00g500276,0,0,0,0,0,0
Solyc00g500277,0,0,0.0321741627907666,0,0,0
Solyc00g052430,0,0,0.0128139606221883,0,0.0103254047694284,0
Solyc00g500278,0,0,0,0,0,0
Solyc00g500279,0,0.104622887846984,0.186541748513831,0,0,0
Solyc00g500280,0,0,0.00417872738603205,0,0,0
Solyc00g500281,0,0,0,0.658163158854331,0,0
Solyc00g500282,0.0598788911823059,0,0,0,0,0
Solyc00g500283,0,0,0,0,0,0
Solyc00g500284,0,0,0,0,0,0
Solyc00g500285,0,0,0.0118595228101615,0,0,0
Solyc00g500286,0,0,0,0,0,0
Solyc00g500287,0,0,0,0,0,0
Solyc00g500288,0,0,0,0,0,0
Solyc00g500289,0,0,0,0,0,0
Solyc00g500290,0.00465236533268117,0,0.00266199559327827,0.0113118329039193,0.0139241491242537,0
Solyc00g500291,0,0,0,0,0,0
Solyc00g500292,0,0,0.00465754678145882,0,0,0
Solyc00g500293,0,0,0.0731097417804972,0,0,0
Solyc00g500294,0,0,0.0181814381240112,0,0,0
Solyc00g500295,0,0,0.0271506103783259,0,0,0
Solyc00g500296,0,0,0.187588463857036,0,0,0
Solyc00g500297,0,0,0.17750636353614,0,0,0
Solyc00g500298,0,0,0,0,0,0
Solyc00g500299,0,0,0,0,0,0
Solyc00g500300,0,0,0,0,0,0
Solyc00g500301,0,0,0.0330673791444404,0,0,0
Solyc00g500302,0,0,0.0349862309729965,0,0,0
Solyc00g500303,0,0,0.00524488112475698,0,0,0
Solyc00g500304,0,0,0,0,0,0
Solyc00g500305,0,0,0,0,0,0
Solyc00g500306,0,0,0,0,0,0
Solyc00g500307,0,0,0,0,0,0
Solyc00g500308,0,0,0,0,0,0
Solyc00g500309,0,0.127873836603835,0.0135881579106262,0,0,0
